code,name,price,change,jinge,jingzhanbi
000651,格力电器,47.83,4.78,92202,8.82
600340,华夏幸福,37.90,10.85,71659,9.70
600606,绿地控股,9.61,18.20,58273,4.50
002920,德赛西威,47.99,7.70,46439,8.77
000002,万科A,35.99,11.32,44479,5.81
600030,中信证券,19.54,5.00,38760,3.78
000333,美的集团,57.66,3.33,35986,5.49
001979,招商蛇口,22.13,7.06,35908,8.37
603799,华友钴业,94.18,8.04,31495,4.93
300618,寒锐钴业,288.96,20.21,30644,7.99
002304,洋河股份,126.32,9.61,29746,14.22
000568,泸州老窖,68.45,3.09,26511,10.21
600519,贵州茅台,752.13,5.07,25799,2.12
600690,青岛海尔,19.83,5.87,25606,6.29
600028,中国石化,7.05,8.96,25207,2.86
601688,华泰证券,19.80,7.14,24778,6.86
601668,中国建筑,9.52,3.25,23935,3.02
600585,海螺水泥,33.97,7.23,22827,3.36
002856,美芝股份,47.68,2.89,22374,14.37
000672,上峰水泥,13.19,16.11,21319,5.18
603619,中曼石油,45.66,27.05,20502,8.97
600823,世茂股份,6.15,20.59,18950,9.33
600031,三一重工,9.88,4.33,17263,3.42
000776,广发证券,17.77,2.72,17216,8.57
000069,华侨城A,9.49,6.03,17216,5.18
000587,金洲慈航,7.21,2.27,16997,16.33
600325,华发股份,8.41,10.66,16789,6.39
002092,中泰化学,15.17,7.59,16326,5.26
601088,中国神华,25.08,7.59,15825,3.44
002447,壹桥股份,6.75,22.73,15495,15.78
000830,鲁西化工,18.68,8.92,14920,4.05
002415,海康威视,40.80,2.93,14836,3.12
002714,牧原股份,59.21,12.44,14497,9.81
300027,华谊兄弟,9.78,9.03,14409,6.30
600093,易见股份,12.73,17.00,14382,16.78
601117,中国化学,7.29,4.59,13464,13.96
601128,常熟银行,7.84,6.96,13242,9.02
600837,海通证券,13.52,1.65,13137,12.08
601888,中国国旅,46.47,1.73,13066,8.33
300431,暴风集团,25.87,15.75,13018,6.08
600887,伊利股份,33.56,2.91,12988,1.98
600436,片仔癀,69.08,5.16,12618,10.17
600497,驰宏锌锗,7.67,5.65,12551,5.05
000876,新希望,7.90,3.81,12338,13.91
002127,南极电商,12.62,12.58,12086,12.22
000538,云南白药,103.90,2.06,11997,9.40
000060,中金岭南,11.55,3.03,11841,6.43
