code,name,price,change,jinge,jingzhanbi
002002,鸿达兴业,7.50,9.65,6848,12.12
600655,豫园股份,11.38,5.96,6813,9.71
002233,塔牌集团,12.71,6.72,6755,3.58
600856,中天能源,11.72,0.26,6747,4.85
600708,光明地产,7.56,10.36,6598,9.07
000895,双汇发展,27.60,4.15,6595,3.31
002907,华森制药,26.51,40.71,6591,3.27
002673,西部证券,12.75,3.49,6468,4.11
601377,兴业证券,7.51,3.16,6437,3.57
000673,当代东方,13.23,0.53,6423,6.25
600871,石化油服,2.92,9.36,6379,5.18
000625,长安汽车,13.11,4.05,6324,4.43
002145,中核钛白,6.20,3.51,6299,7.66
300266,兴源环境,27.02,0.07,6299,11.92
000157,中联重科,4.66,4.25,6274,3.98
600352,浙江龙盛,12.44,6.23,6190,1.06
600802,福建水泥,8.57,17.88,6181,4.53
300221,银禧科技,16.54,7.47,6134,13.97
300465,高伟达,10.19,10.16,6132,9.24
002391,长青股份,16.22,12.80,6097,14.94
000528,柳工,8.90,4.34,6007,5.48
002542,中化岩土,8.25,11.94,5915,5.03
002372,伟星新材,20.62,14.68,5914,4.58
000729,燕京啤酒,7.13,5.79,5850,3.44
000885,同力水泥,18.13,17.12,5838,2.19
002410,广联达,20.78,6.02,5818,7.98
600809,山西汾酒,57.36,0.65,5794,2.56
000635,英力特,16.81,15.69,5788,9.86
601678,滨化股份,8.97,10.47,5745,4.20
600782,新钢股份,7.14,8.51,5720,2.07
603589,口子窖,45.45,-1.30,5590,4.65
000997,新大陆,19.13,6.69,5579,4.84
601919,中远海控,7.25,7.09,5554,2.29
002384,东山精密,30.13,5.87,5536,3.83
000010,美丽生态,6.20,14.39,5513,11.42
000933,神火股份,10.90,7.39,5474,0.81
601808,中海油服,11.77,11.46,5446,4.33
002043,兔宝宝,12.70,3.59,5389,5.39
600933,爱柯迪,16.27,5.86,5329,6.80
600048,保利地产,15.62,10.39,5320,0.33
002356,赫美集团,31.12,17.92,5295,8.22
600153,建发股份,11.79,6.03,5268,3.64
000878,云南铜业,14.53,2.40,5239,2.07
002208,合肥城建,10.99,20.24,5229,14.27
600884,杉杉股份,20.46,5.57,5223,2.71
000036,华联控股,10.13,12.06,5220,2.39
300142,沃森生物,20.01,9.64,5203,3.82
600549,厦门钨业,26.95,4.70,5185,1.36
002210,飞马国际,12.98,4.85,5155,18.48
300128,锦富技术,10.26,-0.19,5132,6.26
002365,永安药业,35.95,8.64,5125,6.25
002879,长缆科技,59.90,5.55,5097,5.40
601989,中国重工,6.08,0.83,5070,1.74
300064,豫金刚石,14.19,1.36,5052,8.95
601901,方正证券,7.26,5.37,5014,5.49
002157,正邦科技,6.21,8.38,5009,7.20
600141,兴发集团,19.09,12.96,4950,3.20
601857,中国石油,8.53,5.44,4919,1.36
600511,国药股份,28.84,3.74,4893,7.08
600216,浙江医药,15.15,12.72,4876,2.84
002041,登海种业,13.44,4.59,4860,11.23
000777,中核科技,16.27,9.19,4783,9.53
300542,新晨科技,33.08,14.94,4735,11.28
601818,光大银行,4.13,1.98,4715,2.14
300166,东方国信,12.88,2.63,4699,6.46
002558,巨人网络,36.36,-1.20,4667,7.67
002138,顺络电子,17.13,3.32,4659,7.15
600125,铁龙物流,11.57,6.93,4655,1.53
600735,新华锦,11.85,5.52,4652,12.56
000501,鄂武商A,16.88,5.76,4649,8.40
002158,汉钟精机,12.44,7.61,4636,3.55
000402,金融街,11.85,6.66,4528,1.85
000902,新洋丰,10.51,7.46,4490,12.20
002054,德美化工,14.65,-1.68,4467,7.82
002114,罗平锌电,18.45,4.24,4464,7.82
601168,西部矿业,8.51,3.78,4445,2.65
600297,广汇汽车,7.96,-0.75,4415,6.26
600649,城投控股,9.33,6.02,4372,5.23
002127,南极电商,12.62,3.53,4258,2.71
600176,中国巨石,18.17,11.54,4250,0.96
002716,金贵银业,20.38,8.00,4241,5.04
000931,中关村,7.47,8.89,4214,12.60
600115,东方航空,8.42,2.56,4188,0.61
000090,天健集团,10.81,7.67,4025,6.19
600777,新潮能源,3.95,6.76,4003,4.02
002045,国光电器,18.22,8.32,3915,3.05
200869,张裕B,20.82,4.52,3908,25.31
002086,东方海洋,12.64,6.22,3840,7.50
002352,顺丰控股,51.72,2.70,3833,4.67
600185,格力地产,6.27,10.39,3824,4.49
603899,晨光文具,25.11,1.82,3801,6.70
600643,爱建集团,11.44,3.25,3790,3.27
000042,中洲控股,19.52,20.27,3784,13.99
600888,新疆众和,7.12,5.79,3747,2.49
600085,同仁堂,33.43,3.69,3734,3.54
000426,兴业矿业,10.70,8.85,3732,2.42
600376,首开股份,10.36,11.52,3689,4.43
002443,金洲管道,9.28,3.11,3681,6.33
300110,华仁药业,14.94,8.03,3673,9.44
300346,南大光电,26.83,2.68,3662,16.17
002611,东方精工,13.90,5.86,3529,11.46
601666,平煤股份,7.00,11.11,3526,1.48
600711,盛屯矿业,9.16,7.89,3477,1.47
600166,福田汽车,2.89,2.85,3390,5.42
600197,伊力特,24.50,4.61,3379,3.75
601000,唐山港,4.98,5.73,3362,3.31
600188,兖州煤业,17.39,19.77,3343,0.78
600348,阳泉煤业,7.85,6.37,3340,1.84
002657,中科金财,24.43,7.06,3314,3.23
603501,韦尔股份,44.91,7.52,3297,1.13
600395,盘江股份,7.33,6.70,3295,3.84
300058,蓝色光标,5.79,4.89,3292,10.50
000537,广宇发展,14.43,13.00,3267,2.54
002426,胜利精密,6.06,3.95,3265,4.90
300199,翰宇药业,16.90,3.81,3236,5.11
603365,水星家纺,23.63,2.25,3230,4.46
002663,普邦股份,5.66,1.98,3228,12.74
000088,盐田港,7.98,4.04,3221,7.04
002656,摩登大道,24.80,1.22,3212,12.43
002537,海联金汇,10.78,10.11,3203,8.43
601607,上海医药,24.91,2.98,3163,2.23
002068,黑猫股份,10.48,8.15,3135,3.51
600318,新力金融,13.38,5.35,3132,11.93
002906,华阳集团,25.07,11.32,3127,6.24
000514,渝开发,7.20,17.65,3125,5.65
002584,西陇科学,18.78,3.64,3110,3.07
002087,新野纺织,5.98,2.75,3098,7.15
600967,内蒙一机,12.32,2.24,3097,4.57
000778,新兴铸管,5.57,6.70,3085,1.91
002025,航天电器,23.71,5.05,3059,3.44
600528,中铁工业,12.44,2.47,3023,3.70
601872,招商轮船,4.60,4.78,3020,8.61
300251,光线传媒,11.10,6.22,3002,1.88
002892,科力尔,42.00,13.79,2977,6.63
002299,圣农发展,15.35,6.60,2960,4.29
000728,国元证券,11.24,2.18,2935,2.20
600971,恒源煤电,11.41,9.40,2871,1.43
002271,东方雨虹,42.40,6.11,2859,1.95
600299,安迪苏,11.21,10.88,2845,20.86
600583,海油工程,6.52,6.02,2837,2.03
002615,哈尔斯,9.85,7.30,2827,18.42
000910,大亚圣象,25.98,13.45,2794,2.28
300312,邦讯技术,13.60,-2.58,2786,5.55
600172,黄河旋风,8.87,1.14,2766,4.87
600609,金杯汽车,6.63,15.10,2764,7.24
002491,通鼎互联,12.87,2.14,2751,7.41
600369,西南证券,4.76,2.81,2728,5.35
002155,湖南黄金,9.76,0.62,2710,2.80
002713,东易日盛,26.48,11.78,2693,6.34
300730,科创信息,45.23,-,2671,1.10
002400,省广股份,5.38,0.94,2668,8.81
002385,大北农,6.60,8.91,2660,2.10
600490,鹏欣资源,8.93,5.31,2594,1.90
002778,高科石化,25.70,9.27,2593,13.28
002626,金达威,20.30,8.44,2583,3.69
601108,财通证券,18.39,0.05,2546,0.73
600845,宝信软件,18.96,2.27,2478,6.01
603883,老百姓,65.98,4.75,2469,7.17
601800,中国交建,13.52,5.62,2413,2.02
002407,多氟多,21.13,3.48,2411,1.81
600761,安徽合力,10.98,4.37,2405,4.84
002128,露天煤业,11.76,6.14,2398,1.11
600993,马应龙,21.48,4.88,2395,3.58
600138,中青旅,21.86,4.74,2384,1.95
600073,上海梅林,8.40,3.45,2374,6.88
600739,辽宁成大,17.93,1.87,2369,4.38
002440,闰土股份,20.32,3.20,2368,1.32
600449,宁夏建材,12.46,9.88,2360,1.90
002008,大族激光,50.38,1.98,2357,0.48
600771,广誉远,43.17,5.86,2354,3.19
000301,东方市场,5.83,9.79,2343,6.76
300191,潜能恒信,25.05,10.79,2338,4.15
300196,长海股份,14.28,9.51,2317,6.73
600873,梅花生物,5.51,6.78,2315,3.18
603980,吉华集团,21.13,2.42,2305,4.44
300386,飞天诚信,17.78,12.11,2293,2.24
600026,中远海能,6.32,3.27,2288,4.92
000703,恒逸石化,-,-,2287,1.09
000912,*ST天化,6.56,13.49,2247,5.63
000016,深康佳A,6.35,4.79,2237,4.70
300472,新元科技,27.21,-8.81,2232,13.67
603989,艾华集团,38.87,1.17,2227,7.30
600512,腾达建设,4.65,4.73,2221,6.53
000838,财信发展,6.20,6.16,2219,4.18
600459,贵研铂业,22.81,2.84,2217,3.90
603328,依顿电子,14.89,3.76,2209,4.41
300232,洲明科技,15.00,4.90,2204,5.36
000011,深物业A,17.88,6.49,2201,2.91
600763,通策医疗,34.46,6.62,2190,2.82
300011,鼎汉技术,11.12,7.34,2188,9.32
601898,中煤能源,6.12,6.99,2181,2.81
300226,上海钢联,39.40,5.07,2178,5.38
601069,西部黄金,17.33,9.20,2172,1.35
002018,华信国际,7.48,5.80,2171,3.73
002742,三圣股份,21.07,-2.77,2166,4.15
000046,泛海控股,8.08,8.31,2163,8.02
000716,黑芝麻,5.76,2.86,2162,10.12
600547,山东黄金,32.38,3.85,2149,0.54
601588,北辰实业,6.00,3.63,2136,3.34
000751,锌业股份,5.47,6.63,2132,2.04
000921,海信科龙,14.88,6.90,2129,2.69
600748,上实发展,6.61,3.12,2100,6.24
601611,中国核建,11.10,8.08,2100,2.21
300037,新宙邦,21.81,4.55,2065,3.99
300279,和晶科技,13.11,3.72,2064,8.23
600290,华仪电气,12.98,-1.74,2052,9.31
002235,安妮股份,11.40,11.11,2048,6.37
600015,华夏银行,9.19,2.11,2020,2.25
600966,博汇纸业,6.33,5.50,2012,2.39
600876,洛阳玻璃,20.85,3.42,2005,2.05
600909,华安证券,7.81,7.43,1994,1.30
002677,浙江美大,17.73,4.60,1976,6.74
600266,北京城建,13.90,5.78,1973,1.86
000012,南玻A,8.90,5.33,1967,1.03
600056,中国医药,26.19,5.22,1966,2.24
000810,创维数字,7.17,3.17,1959,10.25
601886,江河集团,8.88,2.54,1957,5.97
000888,峨眉山A,11.13,3.34,1921,5.49
002003,伟星股份,12.75,11.35,1905,3.50
600770,综艺股份,7.73,1.71,1899,4.53
600602,云赛智联,7.16,4.68,1881,9.77
603889,新澳股份,14.43,0.35,1819,10.68
600261,阳光照明,5.61,1.63,1770,10.05
603169,兰石重装,8.96,6.79,1769,5.27
000598,兴蓉环境,5.51,1.47,1763,3.20
603617,君禾股份,24.75,3.95,1763,12.41
000572,海马汽车,4.72,3.06,1762,6.43
300207,欣旺达,10.30,5.53,1753,2.95
002124,天邦股份,8.90,6.97,1747,10.20
601001,大同煤业,6.69,10.58,1744,2.11
300566,激智科技,40.06,7.40,1729,9.16
600621,华鑫股份,13.67,10.42,1729,1.68
600061,国投资本,13.56,2.88,1721,3.74
600594,益佰制药,10.53,3.03,1714,3.03
300008,天海防务,6.99,1.30,1713,3.03
601727,上海电气,6.88,2.84,1688,2.62
002031,巨轮智能,2.84,5.58,1687,10.17
000685,中山公用,10.47,2.15,1673,6.14
601788,光大证券,14.00,4.24,1665,2.07
000750,国海证券,5.05,3.06,1664,3.53
600446,金证股份,15.84,4.62,1661,2.11
000422,湖北宜化,4.27,4.66,1645,8.35
000631,顺发恒业,4.55,5.57,1630,3.67
000761,本钢板材,5.43,4.42,1619,2.51
002252,上海莱士,19.66,-0.96,1619,6.41
000603,盛达矿业,12.57,4.58,1618,5.66
600094,大名城,7.25,3.72,1613,5.24
300198,纳川股份,6.38,-4.35,1603,3.53
601118,海南橡胶,5.91,6.49,1582,2.74
600011,华能国际,6.33,2.59,1579,4.92
600307,酒钢宏兴,2.95,3.15,1575,2.14
002503,搜于特,5.56,0.36,1573,6.29
000861,海印股份,3.18,5.65,1565,12.55
600248,延长化建,6.70,-,1565,12.78
300122,智飞生物,29.93,6.63,1564,1.58
002813,路畅科技,39.92,14.65,1560,2.61
300178,腾邦国际,14.08,5.86,1552,8.60
601717,郑煤机,7.11,8.05,1548,2.28
002206,海利得,6.17,4.05,1542,8.24
600791,京能置业,7.45,7.66,1510,3.30
300451,创业软件,23.60,9.16,1509,3.85
002554,惠博普,5.00,5.93,1508,2.66
002464,众应互联,29.10,3.19,1499,5.33
000014,沙河股份,13.39,24.21,1486,2.51
300621,维业股份,21.62,10.19,1485,16.79
600401,*ST海润,1.12,-2.61,1480,4.07
603599,广信股份,20.68,5.83,1475,2.71
