code,name,price,change,jinge,jingzhanbi
002916,深南电路,99.00,82.79,149974,11.90
600606,绿地控股,9.61,36.12,109100,5.38
600340,华夏幸福,37.90,23.01,102297,7.86
000002,万科A,35.99,20.57,92298,5.14
000651,格力电器,47.83,6.12,91300,3.44
002920,德赛西威,47.99,-,91117,11.75
600028,中国石化,7.05,16.92,74960,4.68
000587,金洲慈航,7.21,4.64,59717,19.00
600362,江西铜业,20.82,15.60,58762,4.83
002146,荣盛发展,10.91,25.40,49863,4.61
002856,美芝股份,47.68,2.98,47619,13.10
603799,华友钴业,94.18,15.23,47165,3.13
601688,华泰证券,19.80,10.68,45434,4.89
300017,网宿科技,11.32,24.81,42134,5.73
000069,华侨城A,9.49,20.89,41167,6.13
600497,驰宏锌锗,7.67,17.10,40290,6.46
600031,三一重工,9.88,18.75,38543,2.29
000672,上峰水泥,13.19,35.84,37904,5.52
000933,神火股份,10.90,31.48,37318,2.93
001979,招商蛇口,22.13,14.01,36267,4.20
600585,海螺水泥,33.97,15.70,35260,1.96
000983,西山煤电,10.84,12.10,34984,5.55
000776,广发证券,17.77,6.53,34509,6.90
000878,云南铜业,14.53,12.46,29643,5.83
002092,中泰化学,15.17,15.27,28608,4.82
000630,铜陵有色,2.97,6.83,27307,8.29
600985,雷鸣科化,16.31,34.35,26724,8.16
000807,云铝股份,10.94,27.21,25672,1.73
002078,太阳纸业,10.07,12.26,25540,7.56
002304,洋河股份,126.32,7.74,25531,4.33
600048,保利地产,15.62,19.42,25430,1.03
000060,中金岭南,11.55,9.58,25075,4.81
000568,泸州老窖,68.45,3.52,24239,3.04
600999,招商证券,18.55,6.73,22107,6.08
000425,徐工机械,4.88,20.79,21587,1.58
601636,旗滨集团,7.54,29.55,21458,3.40
000338,潍柴动力,8.93,9.71,21004,3.13
002572,索菲亚,39.35,6.96,20900,6.66
002915,中欣氟材,38.79,-,20839,6.94
600030,中信证券,19.54,7.42,20390,0.88
002321,华英农业,12.05,-9.06,19927,5.50
600823,世茂股份,6.15,27.33,19415,7.73
300618,寒锐钴业,288.96,17.37,18710,2.17
601088,中国神华,25.08,8.43,18455,2.00
603619,中曼石油,45.66,28.33,18335,4.24
601211,国泰君安,19.46,3.07,18236,4.39
603477,振静股份,18.39,56.38,18181,6.49
600519,贵州茅台,752.13,10.13,17900,0.44
000059,华锦股份,10.88,15.01,17782,5.12
300675,建科院,39.60,47.16,17642,6.66
000961,中南建设,7.32,20.99,17114,5.05
