code,name,price,change,jinge,jingzhanbi
600030,中信证券,19.54,3.50,44561.75,9.27
002920,德赛西威,47.99,9.99,40354.58,23.03
600340,华夏幸福,37.90,8.35,37239.19,10.44
600029,南方航空,11.60,3.85,26672.31,7.30
601688,华泰证券,19.80,6.62,25512.97,11.42
000776,广发证券,17.77,2.84,21334.03,19.15
600690,青岛海尔,19.83,4.48,17514.19,9.24
600507,方大特钢,15.13,6.70,16813.57,13.78
601699,潞安环能,12.82,7.55,16255.50,7.99
002415,海康威视,40.80,2.56,15469.38,9.28
000338,潍柴动力,8.93,5.31,15301.31,12.34
600031,三一重工,9.88,3.02,13873.16,6.88
600606,绿地控股,9.61,8.96,13292.40,2.28
001979,招商蛇口,22.13,2.98,12438.94,6.69
601899,紫金矿业,4.85,4.75,12318.74,3.49
300431,暴风集团,25.87,9.99,12241.57,12.20
600519,贵州茅台,752.13,1.86,11897.96,3.09
601111,中国国航,12.50,2.63,11695.09,6.43
600093,易见股份,12.73,10.03,11268.92,23.86
002714,牧原股份,59.21,9.99,11258.25,13.72
600362,江西铜业,20.82,3.33,11199.02,7.12
000488,晨鸣纸业,18.20,4.42,10692.26,12.19
600497,驰宏锌锗,7.67,3.79,10623.21,8.79
600837,海通证券,13.52,1.96,10342.10,18.47
000651,格力电器,47.83,-0.10,10182.91,2.74
603260,合盛硅业,61.82,8.70,10098.97,8.77
002110,三钢闽光,24.64,10.00,10074.61,6.57
601088,中国神华,25.08,6.00,10020.42,4.35
000823,超声电子,15.10,8.24,9375.15,20.52
600050,中国联通,6.83,1.49,9161.20,5.95
002496,辉丰股份,6.04,6.90,8967.82,24.26
002177,御银股份,5.56,8.38,8648.24,26.03
000630,铜陵有色,2.97,2.41,8479.81,17.81
603799,华友钴业,94.18,3.55,8423.92,4.39
600188,兖州煤业,17.39,9.65,7960.29,5.92
600933,爱柯迪,16.27,10.01,7902.45,22.04
000830,鲁西化工,18.68,3.89,7690.94,6.23
000807,云铝股份,10.94,3.40,7531.42,6.02
601333,广深铁路,5.78,2.85,7287.50,10.37
300618,寒锐钴业,288.96,7.86,7236.50,5.78
600596,新安股份,11.62,10.04,7139.60,15.39
000878,云南铜业,14.53,3.05,6969.80,11.08
600549,厦门钨业,26.95,2.51,6874.32,7.09
601288,农业银行,3.86,-0.26,6871.51,7.74
002304,洋河股份,126.32,2.72,6848.79,11.95
600019,宝钢股份,9.29,4.74,6725.88,5.12
600999,招商证券,18.55,4.10,6572.88,8.84
002321,华英农业,12.05,-1.39,6567.48,16.14
600547,山东黄金,32.38,1.31,6468.06,7.17
600325,华发股份,8.41,0.84,6230.55,5.04
300027,华谊兄弟,9.78,4.04,6200.26,5.28
300017,网宿科技,11.32,3.66,6188.12,6.18
000060,中金岭南,11.55,2.12,6119.46,8.37
601211,国泰君安,19.46,1.78,6111.75,7.51
300015,爱尔眼科,33.63,6.76,5925.65,11.53
600823,世茂股份,6.15,10.02,5797.79,4.85
002092,中泰化学,15.17,3.34,5698.97,5.64
300498,温氏股份,26.95,6.06,5677.13,5.33
600985,雷鸣科化,16.31,9.98,5622.09,17.80
002915,中欣氟材,38.79,10.01,5618.76,10.18
300465,高伟达,10.19,6.93,5589.82,15.54
600436,片仔癀,69.08,1.99,5484.90,13.74
002151,北斗星通,33.37,3.99,5450.57,10.49
601169,北京银行,7.23,-0.82,5444.99,10.67
002447,壹桥股份,6.75,9.93,5426.43,20.13
